group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
vk_glayer_3_inst:0,494.404,13.6937,3911,1,3215.17,1073.65,326
sy_glayer_0_inst:0,599.854,13.681,3195,1,1472.09,1147.2,303
sy_glayer_3_inst:0,713.816,13.665,3090,1,1781.57,1145.45,303
ss_glayer_3_inst:0,634.707,13.7963,4055,1,1522.35,1109.09,330
hk_glayer_2_inst:0,2908.74,13.6531,5919,2,7562.28,1305.86,291
vk_glayer_2_inst:0,500.831,13.6589,3862,1,1306.51,1118.42,297
vk_glayer_0_inst:0,430.025,13.8205,3964,1,1043.03,781.443,302
ss_glayer_2_inst:0,740.065,13.7148,3970,1,1693.76,883.315,306
ss_glayer_1_inst:0,929.433,13.6562,3985,1,1975.78,703.087,307
vk_glayer_1_inst:0,568.082,13.8195,3921,1,1669.04,797.628,307
hk_glayer_0_inst:0,880.612,13.7642,5825,2,3146.02,646.839,307
hk_glayer_3_inst:0,834.465,13.7933,5620,2,1776.81,1000.88,300
hk_glayer_1_inst:0,704.689,13.7669,5610,2,1756.12,1862.02,325
ss_glayer_0_inst:0,393.565,13.8201,3872,1,1343.33,1213.48,306
sy_glayer_1_inst:0,766.399,13.7742,3201,1,1448.33,9241.08,302
sy_glayer_2_inst:0,472.575,13.8054,3149,1,1262.72,959.981,307
rch_rain,9897.68,40.3791,5,1,2087.05,43.0697,2
ghb_glayer_4,1.87973,13.7285,1,0,115.317,101.392,0
ghb_glayer_5,155.921,10.9078,4,2,320.629,510.82,0
ghb_glayer_1,134.542,14.2602,6,3,439.81,160.778,0
ghb_glayer_0,210.143,13.378,6,3,263.831,207.49,0
ghb_glayer_2,125.447,13.3454,4,2,359.297,138.102,0
ghb_glayer_3,49.8079,11.5273,5,2,215.521,127.281,0
